"","RowNames","Cases","Intcpt","Trend","CosAnnual","SinAnnual","CosSemiAnnual","SinSemiAnnual"
"1",1,0,1,-0.072,1,1.46952762458685e-15,1,2.93905524917371e-15
"2",2,1,1,-0.071,0.86602540378444,0.499999999999998,0.500000000000005,0.866025403784436
"3",3,0,1,-0.07,0.5,0.866025403784439,-0.5,0.866025403784438
"4",4,0,1,-0.069,-3.18465414629598e-15,1,-1,-6.36930829259197e-15
"5",5,1,1,-0.068,-0.499999999999999,0.866025403784439,-0.500000000000002,-0.866025403784438
"6",6,3,1,-0.067,-0.86602540378444,0.499999999999998,0.500000000000003,-0.866025403784437
"7",7,9,1,-0.066,-1,2.20564668959589e-15,1,-4.41129337919177e-15
"8",8,2,1,-0.065,-0.866025403784438,-0.500000000000001,0.499999999999999,0.866025403784439
"9",9,3,1,-0.064,-0.499999999999997,-0.86602540378444,-0.500000000000006,0.866025403784435
"10",10,5,1,-0.063,-4.90520167886754e-16,-1,-1,9.81040335773509e-16
"11",11,3,1,-0.062,0.500000000000002,-0.866025403784437,-0.499999999999996,-0.866025403784441
"12",12,5,1,-0.061,0.86602540378444,-0.499999999999998,0.500000000000003,-0.866025403784437
"13",13,2,1,-0.06,1,4.77732003262288e-15,1,9.55464006524576e-15
"14",14,2,1,-0.059,0.866025403784438,0.500000000000001,0.499999999999999,0.866025403784439
"15",15,0,1,-0.058,0.5,0.866025403784439,-0.5,0.866025403784439
"16",16,1,1,-0.057,-2.93973287553151e-15,1,-1,-5.87946575106302e-15
"17",17,0,1,-0.056,-0.500000000000002,0.866025403784437,-0.499999999999996,-0.866025403784441
"18",18,1,1,-0.055,-0.866025403784438,0.500000000000002,0.499999999999997,-0.86602540378444
"19",19,3,1,-0.054,-1,-1.10214571844014e-15,1,2.20429143688028e-15
"20",20,3,1,-0.053,-0.866025403784438,-0.5,0.499999999999999,0.866025403784439
"21",21,2,1,-0.052,-0.5,-0.866025403784439,-0.5,0.866025403784439
"22",22,1,1,-0.051,2.81727224014927e-15,-1,-1,-5.63454448029854e-15
"23",23,1,1,-0.05,0.499999999999999,-0.866025403784439,-0.500000000000002,-0.866025403784437
"24",24,5,1,-0.049,0.866025403784439,-0.499999999999999,0.500000000000003,-0.866025403784437
"25",25,0,1,-0.048,1,9.79685083057902e-16,1,1.9593701661158e-15
"26",26,3,1,-0.047,0.866025403784438,0.5,0.499999999999999,0.866025403784439
"27",27,1,1,-0.046,0.499999999999997,0.86602540378444,-0.500000000000006,0.866025403784435
"28",28,0,1,-0.045,8.57902074033468e-16,1,-1,1.71580414806694e-15
"29",29,1,1,-0.044,-0.500000000000002,0.866025403784438,-0.499999999999996,-0.866025403784441
"30",30,4,1,-0.043,-0.866025403784439,0.499999999999999,0.500000000000003,-0.866025403784437
"31",31,0,1,-0.042,-1,-8.57224447675664e-16,1,1.71444889535133e-15
"32",32,0,1,-0.041,-0.866025403784437,-0.500000000000003,0.499999999999993,0.866025403784442
"33",33,1,1,-0.04,-0.5,-0.866025403784438,-0.499999999999999,0.866025403784439
"34",34,6,1,-0.039,2.5723509693848e-15,-1,-1,-5.14470193876959e-15
"35",35,14,1,-0.038,0.500000000000002,-0.866025403784438,-0.499999999999997,-0.866025403784441
"36",36,1,1,-0.037,0.866025403784439,-0.499999999999999,0.500000000000002,-0.866025403784437
"37",37,1,1,-0.036,1,7.34763812293426e-16,1,1.46952762458685e-15
"38",38,0,1,-0.035,0.866025403784439,0.5,0.5,0.866025403784439
"39",39,0,1,-0.034,0.5,0.866025403784438,-0.499999999999999,0.866025403784439
"40",40,1,1,-0.033,1.10282334479794e-15,1,-1,2.20564668959589e-15
"41",41,1,1,-0.032,-0.500000000000002,0.866025403784438,-0.499999999999997,-0.86602540378444
"42",42,1,1,-0.031,-0.866025403784439,0.499999999999999,0.500000000000002,-0.866025403784437
"43",43,1,1,-0.03,-1,-2.38866001631144e-15,1,4.77732003262288e-15
"44",44,0,1,-0.029,-0.866025403784439,-0.5,0.5,0.866025403784439
"45",45,1,1,-0.028,-0.499999999999999,-0.866025403784439,-0.500000000000002,0.866025403784437
"46",46,0,1,-0.027,5.5107285922007e-16,-1,-1,-1.10214571844014e-15
